"year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Average"
1993,6.2,7.7,8.7,13.4,18.1,21.7,22.5,24.8,22.9,17.5,14.1,8.5,15.5
1994,5.5,6.6,8.1,15.8,19.5,22.4,28.3,28.9,24.8,20.2,13.4,9,16.9
1995,6.3,6.5,8.9,15,19.1,20.4,26.4,29.4,23.7,19.5,12.7,7.7,16.3
1996,6.6,5.4,9.2,12.7,18.1,22.6,26.2,26,22.4,18,13.2,9.3,15.8
1997,6.8,7,10.5,15.2,19.2,22.7,26.6,27,22.9,18.7,14.3,9.2,16.7
1998,5.3,7,10.1,16.3,20.5,21.5,25.3,27.2,24.4,20.1,13.9,9,16.7
1999,6.6,6.7,10.1,15,19.9,22.8,25.9,28.5,26.2,19.5,14.2,9,17
2000,7.6,6,9.4,14.5,19.8,22.5,27.7,28.3,25.6,18.8,13.3,8.8,16.9
2001,4.9,6.6,9.8,15.7,19.5,23.1,28.5,26.4,23.2,18.7,13.1,8.4,16.5
2002,7.4,7.9,12.2,16.1,18.4,21.6,28,28,23.1,19,11.6,7.2,16.7
2003,5.5,6.4,8.7,15.1,18.8,23.2,22.8,26,24.2,17.8,14.4,9.2,16
2004,6.3,8.5,9.8,16.4,19.6,23.7,28.5,27.2,25.1,17.5,15.6,9.9,17.3
2005,6.1,6.2,9,15.1,17.7,23.2,25.6,28.1,24.7,19.2,13.3,6.4,16.2
2006,5.1,6.7,9.8,13.6,19,22.5,25.6,27.5,23.5,19.5,14.4,9.5,16.4
2007,7.6,8.6,10.8,13.7,19.8,23.2,24.4,29,25.2,19,13.3,9,17
2008,5.9,5.5,10.7,14.7,18.5,21.3,27,26.8,24.4,19.4,13.1,9.8,16.4
2009,6.8,7.8,10,15.7,20.1,22.5,26.3,26.6,23,19,13.5,9,16.7
2010,7,6.5,9.1,12.4,19,23.6,28,29.6,,,,,
