"year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Average"
1978,9.7,8.4,13.1,17.8,22.7,27.5,31.5,33,25.3,21.1,16.5,12.8,20
1979,10.9,12.5,13.8,17.7,22.5,27.9,28.5,31,27.3,23,17.6,13.9,20.6
1980,10,9.2,12,17.6,23.4,27,27.4,26.6,26.1,21.9,16.8,11.9,19.2
1981,8.5,9.2,13,18,21.4,23.6,30,30,25.2,21.1,13.9,11.7,18.8
1982,9.7,9.3,14,17.8,24.7,24.9,26.1,30.2,25.6,21.6,17.6,13,19.5
1983,10.2,10.2,12.1,20.3,23.7,24.2,27.1,31,26.1,21.2,16.3,11.1,19.5
1984,7.5,6.3,10.2,16,21.2,24.9,30,32.4,27.1,21.2,15.9,11.5,18.7
1985,8.1,10.2,11.2,18.3,23,23.1,30.2,31.6,26.1,21.5,17.1,11.4,19.3
1986,8.2,7.9,11.8,18,21.6,24.4,27.2,30.4,26.8,20.5,15.6,12.2,18.7
1987,10,10.7,13.2,18.4,23.1,25.7,30.6,30.8,26.3,22.2,16.2,12.4,20
1988,11.7,8.9,11.9,18.1,22.1,25.5,25.2,30.2,25.2,20.8,15.6,12.5,19
1989,11.4,11.1,13.6,19.6,21.5,23.8,27.4,30.5,28.4,20.7,17.7,12.8,19.9
1990,8.8,10.5,14.4,18.6,23.1,27,29.2,32.4,28.1,22.4,19,13.6,20.6
1991,10.1,10.5,13.1,18.8,22.7,26.9,30.1,29.1,26.9,20.7,16.4,12.7,19.8
1992,10.5,10.8,13.1,19.1,21.1,23.7,29.2,30.4,26.9,20.5,16.9,12.9,19.6
1993,9.1,11.8,12.5,17.8,22.3,25,25.3,28,25.8,20.8,17.7,12.3,19
1994,9.1,10.6,11.6,19.8,23.4,26,31.8,32.9,28.1,23,17.1,12.8,20.5
1995,10.2,10.1,13,19.1,22.7,23.5,29.6,33.7,27.4,23,16.7,12.1,20.1
1996,10.4,9.4,13.1,17,22,26.4,30,30,26.3,21.7,16.7,13.6,19.7
1997,11.3,11.2,14.7,19.2,23.2,26.6,30.7,30.7,26.4,22.8,18.1,12.4,20.6
1998,9.3,11.3,14.4,20.1,24.6,24.6,29,31,27.7,23.5,17.7,12.6,20.5
1999,10.8,11.2,13.7,18.7,24,26.5,29.9,32.3,29.6,23,17.8,12.7,20.9
2000,11.2,9.9,13.5,18.7,24,26.1,31.6,32.4,28.9,21.9,16.7,12.6,20.6
2001,8.6,10.7,14.4,20.4,23,26.6,33,30,26.4,22.5,16.7,12,20.4
2002,11.5,11.9,16.5,20.3,22.3,25.3,31.7,32.1,26.2,22.6,15.2,10.4,20.5
2003,9.3,9.9,12.7,19.2,22.4,26.6,26,29.5,28.1,21.4,17.4,13.2,19.6
2004,10.1,12.9,14,21.3,23.7,27.5,33.1,31,28.7,20.7,19,13.4,21.3
2005,10,9.9,13.1,19.6,21.9,26.7,29.1,31.8,28.2,22.3,17,10.2,20
2006,8.5,10.5,14,17.5,22.7,25.4,28.6,31.1,27.1,22.9,17.9,12.5,19.9
2007,10.9,12.8,15,17.9,24,27.1,27.4,33,28.5,22.2,16.6,12.6,20.7
2008,9.4,9.6,14.9,18.4,22,24.6,30.9,30.7,27.7,22.6,16.4,13.7,20.1
2009,10.2,11.5,13.7,20.2,23.6,25.8,29.3,30.1,26.5,22.3,17,12.4,20.2
2010,11,9.9,13.2,16.6,23,27.5,31.6,33.5,,,,,
